Goroka,GKA,-6.081689,145.391881
Madang,MAG,-5.207083,145.7887
Mount Hagen,HGU,-5.826789,144.295861
Nadzab,LAE,-6.569828,146.726242
Port Moresby,POM,-9.443383,147.22005
Wewak,WWK,-3.583828,143.669186
Narssarssuaq,UAK,61.160517,-45.425978
Godthaab,GOH,64.190922,-51.678064
Sondrestrom,SFJ,67.016969,-50.689325
Thule,THU,76.531203,-68.703161
Akureyri,AEY,65.659994,-18.072703
Egilsstadir,EGS,65.283333,-14.401389
Hofn,HFN,64.295556,-15.227222
Husavik,HZK,65.952328,-17.425978
Isafjordur,IFJ,66.058056,-23.135278
Keflavik,KEF,63.985,-22.605556
Patreksfjordur,PFJ,65.555833,-23.965
Reykjavik,RKV,64.13,-21.940556
Siglufjordur,SIJ,66.133333,-18.916667
Vestmannaeyjar,VEY,63.424303,-20.278875
Sault Sainte Marie,YAM,46.485001,-84.509445
Winnipeg,YAV,50.056389,-97.0325
Halifax,YAW,44.639721,-63.499444
St. Anthony,YAY,51.391944,-56.083056
Tofino,YAZ,49.082222,-125.7725
Pelly Bay,YBB,68.534444,-89.808056
Baie Comeau,YBC,49.1325,-68.204444
Bagotville,YBG,48.330555,-70.996391
Baker Lake,YBK,64.298889,-96.077778
Campbell River,YBL,49.950832,-125.270833
Brandon,YBR,49.91,-99.951944
Cambridge Bay,YCB,69.108055,-105.138333
Nanaimo,YCD,49.052333,-123.870167
Castlegar,YCG,49.296389,-117.6325
Chatham,YCH,47.007778,-65.449167
Charlo,YCL,47.990833,-66.330278
Coppermine,YCO,67.816667,-115.143889
Coronation,YCT,52.075001,-111.445278
Chilliwack,YCW,49.152779,-121.93889
Clyde River,YCY,70.486111,-68.516667
Coral Harbour,YZS,64.193333,-83.359444
Dawson,YDA,64.043056,-139.127778
Burwash,YDB,61.371111,-139.040556
Princeton,YDC,49.468056,-120.511389
Deer Lake,YDF,49.210833,-57.391388
Dease Lake,YDL,58.422222,-130.032222
Dauphin,YDN,51.100834,-100.0525
Dawson Creek,YDQ,55.742333,-120.183
Edmonton,YEG,53.309723,-113.579722
Eskimo Point,YEK,61.094166,-94.070833
Estevan,YEN,49.210278,-102.965833
Edson,YET,53.578888,-116.465
Eureka,YEU,79.994722,-85.814167
Inuvik,YEV,68.304167,-133.482778
Iqaluit,YFB,63.75639,-68.555832
Fredericton,YFC,45.868889,-66.537222
Flin Flon,YFO,54.678055,-101.681667
Fort Resolution,YFR,61.180832,-113.689722
Fort Simpson,YFS,61.760153,-121.236525
Kingston,YGK,44.225277,-76.596944
La Grande Riviere,YGL,53.625278,-77.704167
Gaspe,YGP,48.775278,-64.478611
Geraldton,YGQ,49.778332,-86.939445
Iles De La Madeleine,YGR,47.424721,-61.778056
Hudson Bay,YHB,52.816666,-102.31139
Dryden,YHD,49.831667,-92.744167
Holman Island,YHI,70.762778,-117.806111
Gjoa Haven,YHK,68.635556,-95.849722
Hamilton,YHM,43.173611,-79.935
Montreal,YHU,45.5175,-73.416944
Hay River,YHY,60.839722,-115.782778
Halifax,YHZ,44.880833,-63.50861
Atikokan,YIB,48.773888,-91.638611
Pond Inlet,YIO,72.683334,-77.966667
St. Jean,YJN,45.294445,-73.281111
Stephenville,YJT,48.544167,-58.549999
Kamloops,YKA,50.702222,-120.444444
Waterloo,YKF,43.460833,-80.378611
Schefferville,YKL,54.805278,-66.805278
Kindersley,YKY,51.5175,-109.180833
Toronto,YKZ,43.862221,-79.37
Chapleau,YLD,47.82,-83.346667
Meadow Lake,YLJ,54.125278,-108.522778
Lloydminster,YLL,53.309166,-110.0725
Alert,YLT,82.517778,-62.280556
Kelowna,YLW,49.956112,-119.377778
Mayo,YMA,63.616389,-135.868333
Moose Jaw,YMJ,50.330278,-105.559167
Fort Mcmurray,YMM,56.653333,-111.221944
Moosonee,YMO,51.291111,-80.607778
Maniwaki,YMW,46.272778,-75.990556
Montreal,YMX,45.681944,-74.005278
Natashquan,YNA,50.19,-61.789167
Gatineau,YND,45.521694,-75.563589
Matagami,YNM,49.761667,-77.802778
Old Crow,YOC,67.570556,-139.839167
Cold Lake,YOD,54.404999,-110.279444
High Level,YOJ,58.621389,-117.164722
Ottawa,YOW,45.3225,-75.669167
Prince Albert,YPA,53.214167,-105.672778
Peace River,YPE,56.226944,-117.447222
Portage-la-prairie,YPG,49.903056,-98.273889
Pickle Lake,YPL,51.446388,-90.214167
Port Menier,YPN,49.836389,-64.288611
Peterborough,YPQ,44.23,-78.363333
Prince Pupert,YPR,54.28611,-130.444722
Fort Chipewyan,YPY,58.767223,-111.117222
Muskoka,YQA,44.974722,-79.303333
Quebec,YQB,46.791111,-71.393333
Red Deer Industrial,YQF,52.182222,-113.894444
Windsor,YQG,42.275556,-82.955556
Watson Lake,YQH,60.116389,-128.8225
Kenora,YQK,49.788334,-94.363056
Lethbridge,YQL,49.630278,-112.799722
Moncton,YQM,46.112221,-64.678611
Comox,YQQ,49.710833,-124.886667
Regina,YQR,50.431944,-104.665833
Thunder Bay,YQT,48.371944,-89.323889
Grande Prairie,YQU,55.179722,-118.885
Yorkton,YQV,51.264721,-102.461667
North Battleford,YQW,52.769167,-108.24361
Gander,YQX,48.936944,-54.568056
Sydney,YQY,46.161388,-60.047779
Quesnel,YQZ,53.026112,-122.510278
Resolute,YRB,74.716944,-94.969444
Riviere Du Loup,YRI,47.764444,-69.584722
Roberval,YRJ,48.52,-72.265556
Rocky Mountain House,YRM,52.429722,-114.904167
Rankin Inlet,YRT,62.81139,-92.115833
Sudbury,YSB,46.625,-80.798889
Sherbrooke,YSC,45.438611,-71.691389
St. John,YSJ,45.316111,-65.890278
Fort Smith,YSM,60.020278,-111.961944
Nanisivik,YSR,72.982222,-84.613611
Summerside,YSU,46.440556,-63.833611
Sachs Harbour,YSY,71.993889,-125.2425
Cape Dorset,YTE,64.23,-76.526667
Thompson,YTH,55.801111,-97.864166
Trenton,YTR,44.118889,-77.528056
Timmins,YTS,48.569721,-81.376667
Toronto,YTZ,43.627499,-79.396167
Tuktoyaktuk,YUB,69.433334,-133.026389
Montreal,YUL,45.470556,-73.740833
Repulse Bay,YUT,66.521389,-86.224722
Hall Beach,YUX,68.776111,-81.243611
Rouyn,YUY,48.206111,-78.835556
La Ronge,YVC,55.15139,-105.261944
Vermillion,YVG,53.355833,-110.82389
Broughton Island,YVM,67.545833,-64.031389
Val D'or,YVO,48.053333,-77.782778
Quujjuaq,YVP,58.096111,-68.426944
Norman Wells,YVQ,65.281617,-126.798219
Vancouver,YVR,49.193889,-123.184444
Buffalo Narrows,YVT,55.841944,-108.4175
Wiarton,YVV,44.745834,-81.107222
Petawawa,YWA,45.952221,-77.319168
Winnipeg,YWG,49.910036,-97.239886
Wabush,YWK,52.921944,-66.864444
Williams Lake,YWL,52.183056,-122.054167
Wrigley,YWY,63.209444,-123.436667
Cranbrook,YXC,49.612222,-115.781944
Edmonton,YXD,53.5725,-113.520556
Saskatoon,YXE,52.170834,-106.699722
Medicine Hat,YXH,50.01889,-110.720833
Fort Saint John,YXJ,56.238056,-120.740278
Sioux Lookout,YXL,50.113889,-91.905278
Pangnirtung,YXP,66.145,-65.713611
Earlton,YXR,47.695,-79.848889
Prince George,YXS,53.889444,-122.678889
Terrace,YXT,54.468508,-128.576219
London,YXU,43.033056,-81.151111
Abbotsford,YXX,49.025278,-122.360556
Whitehorse,YXY,60.709553,-135.067269
North Bay,YYB,46.363611,-79.422778
Calgary,YYC,51.113888,-114.020278
Smithers,YYD,54.824722,-127.182778
Fort Nelson,YYE,58.836389,-122.596944
Penticton,YYF,49.463056,-119.602222
Charlottetown,YYG,46.290001,-63.121111
Spence Bay,YYH,69.546667,-93.576667
Victoria,YYJ,48.646944,-123.425833
Lynn Lake,YYL,56.863888,-101.07611
Swift Current,YYN,50.291944,-107.690556
Churchill,YYQ,58.739167,-94.065
Goose Bay,YYR,53.319168,-60.425833
St. John's,YYT,47.61861,-52.751945
Kapuskasing,YYU,49.413889,-82.4675
Armstrong,YYW,50.290279,-88.909721
Mont Joli,YYY,48.608612,-68.208056
Toronto,YYZ,43.677223,-79.630556
Toronto,YZD,43.7425,-79.465556
Gore Bay,YZE,45.885277,-82.567778
Yellowknife,YZF,62.462778,-114.440278
Slave Lake,YZH,55.293056,-114.777222
Sandspit,YZP,53.254333,-131.813833
Sarnia,YZR,42.999444,-82.308889
Port Hardy,YZT,50.680556,-127.366667
Whitecourt,YZU,54.14389,-115.786667
Sept-iles,YZV,50.223333,-66.265556
Teslin,YZW,60.172779,-132.742778
Greenwood,YZX,44.984444,-64.916944
Faro,ZFA,62.2075,-133.375833
Fort Mcpherson,ZFM,67.4075,-134.860556
Bejaja,BJA,36.711997,5.069922
Algier,ALG,36.691014,3.215408
